Empid,Ename,city,Sal,Age,Dept,dob
E101,admas jon,new york,45353,36,Finance,2001-08-23
E102,kesahv patil,pune,53463,23,IT,2021-03-23
E102,raghav fgf,mumbai,67543,24,HR,2011-02-28
E103,jon fhjrfh,dubai,67565,34,Marckting,2021-05-23
E104,ram fjhrf,chennai,54634,24,Finance,2023-07-23
E105,rahul rfrr,pune,6744,35,IT,2014-08-26
E105,rahul rfrr,pune,67444,35,IT,2005-08-28
E106,admas errr,new york,45653,36,Sale,2003-08-23
E108,admas reerr,new york,45383,36,Sales,2001-08-23
E109,larry egtrtr,pune,53463,23,IT,2008-08-23
E110,raghav,mumbai,67568,24,HR,2005-08-23
E111,jon rgrrg,dubai,67560,34,HR,2004-08-21
E112,ram grergr,chennai,54654,24,sales,2004-08-15

